,,,,,
Part Name,PN (if available),QTY Reqd,price,qty designator,link
128x64 OLED Display,sku: 25742,1,$12.99,ea,https://www.waveshare.com/2.42inch-oled-module.htm
Magnetic Encoder Board (mt6701),MT6701,1,$4.12,ea,https://www.aliexpress.com/item/1005007469177411.html
2804 100kv Brushless Gimbal Motor,2804 100kv,1,$23.44,ea,https://www.aliexpress.us/item/3256801872144034.html?spm=a2g0o.productlist.main.3.2a854da7lS8vTb&algo_pvid=612e86cd-146d-428e-b7b4-2b6efc224550&algo_exp_id=612e86cd-146d-428e-b7b4-2b6efc224550-2&pdp_ext_f=%7B%22order%22%3A%22148%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2114.37%2110.78%21%21%2114.37%2110.78%21%4021030a4b17685995145465846e7c4b%2112000018589530079%21sea%21US%21734271006%21ACX%211%210%21n_tag%3A-29919%3Bd%3Aa355d8dd%3Bm03_new_user%3A-29894&curPageLogUid=ZmV0swoLEkdW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002058458786%7C_p_origin_prod%3A#nav-specification
Kailh Low Profile Switches,1350,1,$12.20,30 pack,https://www.aliexpress.us/item/3256804880270570.html?gatewayAdapt=glo2usa4itemAdapt
RP2040-Plus Board (without header),RP2040-Plus-16MB,1,$6.99,ea,https://www.waveshare.com/rp2040-plus.htm?sku=23503
TMC6300 Motor Driver Board,TMC6300,1,$17.95,ea,https://www.sparkfun.com/sparkfun-brushless-motor-driver-3-phase-tmc6300.html
Micro SD Module-3.3V SPI TF Storage,,1,$0.99,10 pk,https://www.aliexpress.us/item/3256810401669594.html?gatewayAdapt=glo2usa4itemAdapt
6x1mm Magnets,,1,$2.53,50 pk,https://www.aliexpress.us/item/3256809708457389.html?gatewayAdapt=glo2usa4itemAdapt
Tactile Buttons,EVQ-Q2B03W,1,$2.26,10 pk,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EVQ-Q2B03W/762882
Alternate Tactile Button,Order 3.1 height,1,3.20,30 pk,https://www.aliexpress.us/item/3256808139893877.html
WS2811 LED's,WS2811,1,$10.08,200 pk,https://www.aliexpress.us/item/2251832590417125.html?gatewayAdapt=glo2usa4itemAdapt
0.1uF (100nF) 0603 Capacitors,,1,$1.52,100 pk,https://www.aliexpress.us/item/2251832780211793.html?gatewayAdapt=glo2usa4itemAdapt
Large PCB,,1,$29.35,5 pk,Pcbway
Small PCB,,1,$5.00,5 pk,pcbway
M3x5x5 Threaded Inserts,94180A331,2,$7.27,pk 25,McMaster carr
M3x6 SHCS,91290A111,1,$11.59,pk 100,McMaster carr
M3x10 SHCS,95263A134,1,$8.55,pk 50,McMaster carr
M2.5x4 SHCS,91290A099,1,$12.44,pk 50,McMaster carr
M3x6 CSK,91294A126,1,$5.45,pk 100,McMaster carr
Low profile keycaps,,1,13.99,Pk 20,https://www.amazon.com/dp/B0FK283QCB?th=1
M2-.04x6mm fhshcs,,1,6.79,Pk 50,https://www.amazon.com/dp/B0CQ1KS9NJ?th=1
Switching Signal Diode 200 mA 100 V Axial 100 Volt,1N4148 DO-35,1,3.79,Pk 20,https://www.amazon.com/dp/B0DS1JLQ1X?th=1
Assorted Capacitors (to get 10nF),,1,7.98,Multi pack,https://www.amazon.com/dp/B06XDG3WQX?
